,Frec_lec_rec,Frec_Tvpeliculas,Frec_LecAcademica,Frec_RS,Frec_news,Listening,Speaking,Writting,Reading,Español_legua_materna,Inglés_segundo_idioma,Adquisición_educativa,Inglés_en_extranjero,Certificación_inglés,Residencia_anglosajón+3,ing_hab,esp_hab,ing_crying_baby,esp_crying_baby,ing_sophie,esp_sophie,ing_infiel,esp_infiel,ing_delatar,esp_delatar,Adquisicion_edu,Exposcion_Ac,Exposicion_social,Mini-test,Encuesta_ingles,Promedio,Ut_ans,P_Uti
0,0.4,0.8,0.4,0.8,0.8,0.4,0.4,0.4,0.4,True,True,True,False,False,False,,True,,False,,True,,True,,False,True,True,False,0.5,False,0.64,0.6,1.0
1,0.0,0.6,0.4,0.8,0.2,0.6,0.4,0.4,0.6,True,False,True,False,False,False,,True,,False,,False,,True,,False,True,True,False,0.8333333333333334,False,0.39999999999999997,0.4,0.0
2,0.4,0.8,0.4,0.8,0.6,0.6,0.4,0.4,0.6,True,True,True,True,True,False,,True,,True,,True,,False,,False,True,True,False,0.6666666666666666,False,0.6,0.6,1.0
3,0.6,0.8,0.4,0.8,0.2,0.4,0.4,0.4,0.4,True,True,True,False,True,True,,True,,False,,True,,False,,False,True,True,False,0.6666666666666666,False,0.56,0.4,0.0
4,0.6,0.4,0.4,0.6,0.4,0.4,0.4,0.4,0.4,True,True,True,False,False,False,,True,,False,,False,,False,,True,True,True,False,0.6666666666666666,False,0.48000000000000004,0.4,0.0
5,0.4,0.6,0.8,0.6,0.4,0.4,0.4,0.4,0.4,True,True,True,True,False,False,,True,,False,,False,,False,,True,True,True,False,0.8333333333333334,False,0.5599999999999999,0.4,0.0
6,0.6,0.8,0.8,0.8,0.4,0.6,0.6,0.6,0.4,True,True,True,False,False,False,True,,False,,True,,False,,False,,True,False,True,0.8333333333333334,True,0.68,0.4,0.0
7,0.4,0.4,0.8,0.4,0.6,0.6,0.4,0.4,0.6,True,True,True,False,False,False,,True,,False,,True,,False,,False,True,True,False,0.6666666666666666,False,0.52,0.4,0.0
8,0.2,0.6,0.8,0.6,0.2,0.6,0.6,0.6,0.6,True,False,True,False,True,False,,True,,True,,False,,False,,False,True,False,True,0.6666666666666666,False,0.48,0.4,0.0
9,0.4,0.8,0.4,0.2,0.2,0.4,0.4,0.4,0.4,True,True,True,True,True,False,,True,,False,,False,,False,,False,True,True,False,0.6666666666666666,False,0.39999999999999997,0.2,0.0
